source,country,bias,factual_reporting
9news.com,usa,neutral,high
nbc11news.com,usa,neutral,high
12news.com,usa,neutral,high
wibw.com,usa,neutral,high
2020insightllc.com,united states,neutral,mixed
wifr.com,usa,neutral,high
247wallst.com,usa,neutral,high
24ur.com,slovenia,neutral,mixed
247sports.com,united states,neutral,high
270towin.com,usa,neutral,high
38north.org,usa,neutral,high
audacy.com,united states,neutral,high
join1440.com,usa,neutral,high
abc7chicago.com,usa,neutral,high
abc7ny.com,usa,neutral,high
abc12.com,usa,neutral,high
langerresearch.com,united states,neutral,high
abs-cbn.com,philippines,neutral,high
abtassociates.com,united states,neutral,high
actionnewsjax.com,usa,neutral,high
adfontesmedia.com,usa,neutral,high
lenconnect.com,usa,left-center,high
swiowanewssource.com,united states,neutral,high
adweek.com,usa,neutral,high
africacheck.org,south africa,neutral,high
agdaily.com,usa,neutral,high
efe.com,spain,neutral,high
ansa.it,italy,neutral,high
agerpres.ro,romania,neutral,high
agriculturedive.com,usa,neutral,high
agweb.com,usa,neutral,high
ahwatukee.com,usa,neutral,high
airforcetimes.com,usa,neutral,high
airwars.org,united kingdom,neutral,high
alabamanow.com,usa,neutral,high
alreporter.com,usa,neutral,high
democratherald.com,usa,neutral,high
ad.nl,netherlands,neutral,high
allafrica.com,south africa,neutral,high
gmfus.org,usa,neutral,high
alloaadvertiser.com,united kingdom,neutral,high
thealpenanews.com,usa,neutral,high
amarillo.com,usa,neutral,high
americanheritage.com,usa,neutral,high
americanpressinstitute.org,usa,neutral,high
americanresearchgroup.com,united states,neutral,mixed
amview.com,united states,neutral,mixed
amomama.com,cyprus,neutral,high
goskagit.com,usa,neutral,high
adn.com,usa,neutral,high
andoveradvertiser.co.uk,united kingdom,neutral,high
mlive.com,usa,neutral,high
hometownsource.com,usa,neutral,high
arcdigital.media,usa,neutral,high
ard.de,germany,neutral,high
ardrossanherald.com,united kingdom,neutral,high
arenacindependent.com,usa,neutral,high
arirang.com,south korea,neutral,high
arlingtontimes.com,usa,neutral,high
armytimes.com,usa,neutral,high
arstechnica.com,usa,neutral,high
courier-tribune.com,usa,neutral,high
asiatimes.com,hong kong,neutral,mixed
summitdaily.com,usa,neutral,high
athensmessenger.com,usa,neutral,high
atlasintel.org,brazil,neutral,high
atlasobscura.com,usa,neutral,high
auburnpub.com,usa,neutral,high
auburn-reporter.com,usa,neutral,high
aap.com.au,australia,neutral,high
automotivedive.com,usa,neutral,high
avenuenews.com,usa,neutral,high
ayradvertiser.com,united kingdom,neutral,high
azfamily.com,usa,neutral,high
babnet.net,tunisia,neutral,mixed
breakingthenews.net,austria,neutral,mixed
bainbridgereview.com,usa,neutral,high
ballot-access.org,usa,neutral,high
ballotpedia.org,usa,neutral,high
banburyguardian.co.uk,united kingdom,neutral,high
bankingdive.com,usa,neutral,high
barrheadnews.com,united kingdom,neutral,high
barryanddistrictnews.co.uk,united kingdom,neutral,high
echo-news.co.uk,united kingdom,neutral,high
basingstokegazette.co.uk,united kingdom,neutral,high
mlive.com,usa,neutral,high
beatricedailysun.com,usa,neutral,high
bnd.com,usa,right-center,high
bellevuereporter.com,usa,neutral,high
benzinga.com,usa,neutral,high
bestlifeonline.com,usa,neutral,mixed
bettergov.org,usa,neutral,high
bicesteradvertiser.net,united kingdom,neutral,high
bigcountry995.com,usa,neutral,high
bigforkeagle.com,usa,neutral,high
biggleswadetoday.co.uk,united kingdom,neutral,high
bignewsnetwork.com,united arab emirates,neutral,mixed
bigthink.com,usa,neutral,high
big-village.com,united states,neutral,mixed
billtrack50.com,usa,neutral,mixed
sunherald.com,usa,neutral,high
pressconnects.com,usa,neutral,high
biography.com,usa,neutral,high
biopharmadive.com,usa,neutral,high
birminghamworld.uk,united kingdom,neutral,high
bishopsstortfordindependent.co.uk,united kingdom,neutral,high
bismarcktribune.com,usa,neutral,high
blackpoolgazette.co.uk,united kingdom,neutral,high
blastingnews.com,united kingdom,neutral,high
bleepingcomputer.com,usa,neutral,high
blueprint.ng,nigeria,neutral,mixed
intellinews.com,germany,neutral,mixed
bnnbreaking.com,hong kong,neutral,mixed
bnonews.com,netherlands,neutral,high
bocapost.com,united states,neutral,high
bonnercountydailybee.com,usa,neutral,high
bonnersferryherald.com,usa,neutral,high
boonvilledailynews.com,usa,neutral,high
bordercountiesadvertizer.co.uk,united kingdom,neutral,high
borderreport.com,usa,neutral,high
bordertelegraph.com,united kingdom,neutral,high
borehamwoodtimes.co.uk,united kingdom,neutral,high
bothell-reporter.com,usa,neutral,high
bournemouthecho.co.uk,united kingdom,neutral,high
bozemandailychronicle.com,usa,left-center,high
bradenton.com,usa,neutral,high
bracknellnews.co.uk,united kingdom,neutral,high
thetelegraphandargus.co.uk,united kingdom,neutral,high
braintreeandwithamtimes.co.uk,united kingdom,neutral,high
brentwoodlive.co.uk,united kingdom,neutral,high
bridgemi.com,usa,left-center,high
bridgwatermercury.co.uk,united kingdom,neutral,high
bridportnews.co.uk,united kingdom,neutral,high
bringmethenews.com,usa,neutral,high
heraldcourier.com,usa,neutral,high
bristolworld.com,united kingdom,neutral,high
bromsgroveadvertiser.co.uk,united kingdom,neutral,high
