source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
9news.com,usa,least biased (-1.0),high (1.0),,tv station,high traffic,high credibility
nbc11news.com,usa,least biased,high,,tv station,medium traffic,high credibility
12news.com,usa,least biased,high,,tv station,medium traffic,high credibility
wibw.com,usa,least biased,high,,tv station,medium traffic,high credibility
2020insightllc.com,united states,least biased,mixed,,organization/foundation,minimal traffic,medium credibility
wifr.com,usa,least biased,high,,tv station,medium traffic,high credibility
247wallst.com,usa,least biased,high,,website,medium traffic,high credibility
24ur.com,slovenia,least biased,mixed,,website,high traffic,high credibility
247sports.com,united states,least biased,high,,website,high traffic,high credibility
270towin.com,usa,least biased,high,,website,high traffic,high credibility
38north.org,usa,least biased,high,,organization/foundation,medium traffic,high credibility
audacy.com,united states,least biased,high,,radio station,high traffic,high credibility
join1440.com,usa,least biased,high,,website,medium traffic,high credibility
abc7chicago.com,usa,least biased,high,,tv station,high traffic,high credibility
abc7ny.com,usa,least biased,high,,tv station,high traffic,high credibility
abc12.com,usa,least biased,high,,tv station,medium traffic,high credibility
langerresearch.com,united states,least biased,very high,,organization/foundation,minimal traffic,high credibility
abs-cbn.com,philippines,least biased,high,,tv station,high traffic,high credibility
abtassociates.com,united states,least biased,high,,organization/foundation,minimal traffic,high credibility
actionnewsjax.com,usa,least biased,high,,tv station,medium traffic,high credibility
adfontesmedia.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
lenconnect.com,usa,left-center,high,,newspaper,minimal traffic,high credibility
swiowanewssource.com,united states,least biased,high,,newspaper,minimal traffic,high credibility
adweek.com,usa,least biased,high,,magazine,medium traffic,high credibility
africacheck.org,south africa,least biased,very high,,website,medium traffic,high credibility
agdaily.com,usa,least biased,high,,website,minimal traffic,high credibility
efe.com,spain,least biased,high,,news agency,high traffic,high credibility
ansa.it,italy,least biased,high,,news agency,high traffic,high credibility
agerpres.ro,romania,least biased,high,,news agency,medium traffic,high credibility
agriculturedive.com,usa,least biased,high,,website,minimal traffic,high credibility
agweb.com,usa,least biased,high,,journal,medium traffic,high credibility
ahwatukee.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
airforcetimes.com,usa,least biased,high,,newspaper,medium traffic,high credibility
airwars.org,united kingdom,least biased,high,,organization/foundation,minimal traffic,high credibility
alabamanow.com,usa,least biased,high,,newspaper,medium traffic,high credibility
alreporter.com,usa,least biased,high,,website,medium traffic,high credibility
democratherald.com,usa,least biased,high,,newspaper,medium traffic,high credibility
ad.nl,netherlands,least biased,high,,newspaper,high traffic,high credibility
allafrica.com,south africa,least biased,high,,website,medium traffic,high credibility
gmfus.org,usa,least biased,high,,organization/foundation,minimal traffic,high credibility
alloaadvertiser.com,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
thealpenanews.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
amarillo.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
americanheritage.com,usa,least biased,high,,website,medium traffic,high credibility
americanpressinstitute.org,usa,least biased,very high,,organization/foundation,minimal traffic,high credibility
americanresearchgroup.com,united states,least biased,mixed,,organization/foundation,minimal traffic,high credibility
amview.com,united states,least biased,mixed,,organization/foundation,minimal traffic,medium credibility
amomama.com,cyprus,least biased,high,,website,high traffic,high credibility
goskagit.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
adn.com,usa,least biased,high,,newspaper,medium traffic,high credibility
andoveradvertiser.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
mlive.com,usa,least biased,high,,website,high traffic,high credibility
hometownsource.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
arcdigital.media,usa,least biased,high,,website,minimal traffic,high credibility
ard.de,germany,least biased,high,,radio station,high traffic,high credibility
ardrossanherald.com,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
arenacindependent.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
arirang.com,south korea,least biased,high,,tv station,medium traffic,high credibility
arlingtontimes.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
armytimes.com,usa,least biased,high,,newspaper,medium traffic,high credibility
arstechnica.com,usa,least biased,high,,website,high traffic,high credibility
courier-tribune.com,usa,least biased,high,,website,minimal traffic,high credibility
asiatimes.com,hong kong,least biased,mixed,,newspaper,medium traffic,medium credibility
summitdaily.com,usa,least biased,high,,newspaper,medium traffic,high credibility
athensmessenger.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
atlasintel.org,brazil,least biased,high,,organization/foundation,minimal traffic,high credibility
atlasobscura.com,usa,least biased,high,,website,high traffic,high credibility
auburnpub.com,usa,least biased,high,,newspaper,medium traffic,high credibility
auburn-reporter.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
aap.com.au,australia,least biased,high,,news agency,medium traffic,high credibility
automotivedive.com,usa,least biased,high,,website,minimal traffic,high credibility
avenuenews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
ayradvertiser.com,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
azfamily.com,usa,least biased,high,,tv station,high traffic,high credibility
babnet.net,tunisia,least biased,mixed,,website,medium traffic,medium credibility
breakingthenews.net,austria,least biased,mixed,,website,minimal traffic,medium credibility
bainbridgereview.com,usa,least biased,high,,newspaper,minimal traffic,high credibility
ballot-access.org,usa,least biased,high,mostly free,website,minimal traffic,high credibility
ballotpedia.org,usa,least biased,very high,,organization/foundation,high traffic,high credibility
banburyguardian.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
bankingdive.com,usa,least biased,high,,website,minimal traffic,high credibility
barrheadnews.com,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
barryanddistrictnews.co.uk,united kingdom,least biased,high,,newspaper,minimal traffic,high credibility
echo-news.co.uk,united kingdom,least biased,high,,newspaper,medium traffic,high credibility
